cod_matricula,max_fecha_plano,max_fecha_sap,id_zre,cod_naturaleza_juridica,naturaleza_juridica,anio,mes,id_usuario
5295745,2024-09-30,2013-11-13,01N,0168,TRANSFERENCIA DE DOMINIO A TITULO DE LEASING HABITACIONAL DE VIVIENDA FAMILIAR,2024,9,101
5296086,2024-08-31,2024-08-14,01N,0125,COMPRAVENTA,2024,8,101
5296473,2024-08-31,2019-09-03,01N,0125,COMPRAVENTA,2024,8,101
5296763,2024-07-31,2009-11-19,01N,0125,COMPRAVENTA,2024,7,101
5296904,2024-12-31,2024-12-04,01N,0125,COMPRAVENTA,2024,12,101
5297652,2024-09-30,2022-09-19,01N,0125,COMPRAVENTA,2024,9,101
5297874,2024-10-31,2012-12-26,01N,0109,ADJUDICACION EN SUCESION,2024,10,101
5298510,2024-09-30,2014-05-14,01N,0125,COMPRAVENTA,2024,9,101
5298757,2024-08-31,2012-10-01,01N,0125,COMPRAVENTA,2024,8,101
5298883,2024-08-31,2012-10-01,01N,0125,COMPRAVENTA,2024,8,101
5299006,2024-08-31,2012-10-01,01N,0125,COMPRAVENTA,2024,8,101
5299197,2024-09-30,2018-01-29,01N,0125,COMPRAVENTA,2024,9,101
5299510,2024-05-31,2016-03-14,01N,0125,COMPRAVENTA,2024,5,101
5299576,2024-09-30,2010-04-27,01N,0109,ADJUDICACION EN SUCESION,2024,9,101
5299735,2024-05-31,2010-12-02,01N,0125,COMPRAVENTA,2024,5,101
5299951,2024-09-30,2024-02-28,01N,0125,COMPRAVENTA,2024,9,101
5300016,2023-11-30,2011-01-28,01N,0109,ADJUDICACION EN SUCESION,2023,11,101
5300153,2024-07-31,2010-05-07,01N,0125,COMPRAVENTA,2024,7,101
5300244,2024-08-31,2024-05-27,01N,0125,COMPRAVENTA,2024,8,101
5300339,2024-11-30,2019-01-11,01N,0125,COMPRAVENTA,2024,11,101
5300562,2024-07-31,2024-02-01,01N,0125,COMPRAVENTA,2024,7,101
5300935,2024-07-31,2017-08-25,01N,0125,COMPRAVENTA,2024,7,101
5301108,2025-03-31,2010-09-10,01N,0125,COMPRAVENTA,2025,3,101
5301267,2024-11-30,2024-08-29,01N,0125,COMPRAVENTA,2024,11,101
5301335,2024-04-30,2010-08-31,01N,0125,COMPRAVENTA,2024,4,101
5301571,2024-05-31,2017-03-25,01N,0125,COMPRAVENTA,2024,5,101
5301673,2024-02-29,2024-02-16,01N,0125,COMPRAVENTA,2024,2,101
5301921,2025-01-31,2010-06-30,01N,0125,COMPRAVENTA,2025,1,101
5302192,2024-12-31,2011-11-29,01N,0125,COMPRAVENTA,2024,12,101
5302355,2024-04-30,2010-12-21,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,4,101
5302586,2025-01-31,2019-03-11,01N,0125,COMPRAVENTA,2025,1,101
5302898,2024-09-30,2024-09-25,01N,0125,COMPRAVENTA,2024,9,101
5303263,2024-07-31,2023-04-10,01N,0125,COMPRAVENTA,2024,7,101
5303458,2025-02-28,2011-01-27,01N,0125,COMPRAVENTA,2025,2,101
5303554,2024-04-30,2010-08-25,01N,0109,ADJUDICACION EN SUCESION,2024,4,101
5303849,2024-07-31,2019-02-22,01N,0125,COMPRAVENTA,2024,7,101
5303999,2024-08-31,2010-09-08,01N,0125,COMPRAVENTA,2024,8,101
5304292,2025-03-31,2022-11-18,01N,0125,COMPRAVENTA,2025,3,101
