cod_matricula,max_fecha_plano,max_fecha_sap,id_zre,cod_naturaleza_juridica,naturaleza_juridica,anio,mes,id_usuario
563,2024-04-30,2017-03-01,001,0125,COMPRAVENTA,2024,4,102
675,2025-03-31,2011-03-31,001,0125,COMPRAVENTA,2025,3,102
1499,2024-04-30,2018-08-24,001,0125,COMPRAVENTA,2024,4,102
2186,2024-12-31,2017-06-07,001,0125,COMPRAVENTA,2024,12,102
4174,2024-11-30,2023-09-01,01N,0125,COMPRAVENTA,2024,11,102
5599,2024-05-31,2007-04-24,01N,0140,EXPROPIACION POR VIA ADMNINISTRATIVA,2024,5,102
7086,2025-03-31,2024-07-10,01N,0125,COMPRAVENTA,2025,3,102
8053,2025-03-31,2012-08-30,001,0125,COMPRAVENTA,2025,3,102
8770,2024-11-30,2018-01-19,001,0125,COMPRAVENTA,2024,11,102
9130,2025-02-28,2020-11-24,001,0109,ADJUDICACION EN SUCESION,2025,2,102
10797,2025-02-28,2018-01-29,001,0125,COMPRAVENTA,2025,2,102
11222,2024-07-31,2014-02-26,001,0125,COMPRAVENTA,2024,7,102
11984,2024-02-29,2020-01-28,01N,0109,ADJUDICACION EN SUCESION,2024,2,102
12735,2024-08-31,2016-01-18,001,0109,ADJUDICACION EN SUCESION,2024,8,102
13760,2024-07-31,2015-10-19,001,0125,COMPRAVENTA,2024,7,102
15539,2025-03-31,2023-09-05,001,0125,COMPRAVENTA,2025,3,102
16583,2024-05-31,2007-08-16,01N,0125,COMPRAVENTA,2024,5,102
16939,2024-04-30,2019-05-02,001,0125,COMPRAVENTA,2024,4,102
18254,2024-08-31,2007-02-13,001,0125,COMPRAVENTA,2024,8,102
19164,2025-03-31,2018-12-27,001,0108,ADJUDICACION EN REMATE,2025,3,102
20311,2025-01-31,2023-05-17,001,0146,RATIFICACION CONTRATO,2025,1,102
20519,2024-04-30,2009-03-13,01N,0109,ADJUDICACION EN SUCESION,2024,4,102
20871,2025-03-31,2022-10-19,001,0125,COMPRAVENTA,2025,3,102
